StockCode,Description,Revenue,Units_Sold,Avg_Unit_Price
21926,RED/CREAM STRIPE CUSHION COVER,509.9,414,1.2468333333333335
21927,BLUE/CREAM STRIPE CUSHION COVER,771.15,623,1.2481
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17239.69,8411,2.683268072289157
21928,JUMBO BAG SCANDINAVIAN PAISLEY,3904.72,2057,2.760689655172414
21929,JUMBO BAG PINK VINTAGE PAISLEY,23179.06,11006,2.678348623853211
21930,JUMBO STORAGE BAG SKULLS,14006.2,6438,2.7869887955182073
21931,JUMBO STORAGE BAG SUKI,30764.010000000002,13651,2.746616415410385
21932,SCANDINAVIAN PAISLEY PICNIC BAG,4995.38,2720,2.0698666666666665
21933,PINK VINTAGE PAISLEY PICNIC BAG,4957.43,2672,2.0688009592326138
21934,SKULL SHOULDER BAG,4480.28,2421,2.140631067961165
21935,SUKI  SHOULDER BAG,6298.61,3393,2.336911487758945
21936,RED RETROSPOT PICNIC BAG,11665.19,3985,3.7098496240601504
21937,STRAWBERRY   PICNIC BAG,4898.85,1707,3.405555555555556
21942,SKULLS DESIGN FLANNEL,313.01,287,1.3337864077669903
21943,CAKES AND RABBITS DESIGN FLANNEL,134.48999999999998,119,1.2856
21944,KITTENS DESIGN FLANNEL,310.19,337,1.1922772277227722
21945,STRAWBERRIES  DESIGN FLANNEL,373.34,358,1.3124528301886793
21946,PARTY TIME DESIGN FLANNEL,75.35,86,1.0136
21947,SET OF 6 HEART CHOPSTICKS,1139.65,811,1.6988535031847132
21948,SET OF 6 CAKE CHOPSTICKS,978.23,640,1.904258064516129
21949,SET OF 6 STRAWBERRY CHOPSTICKS,1054.44,801,1.8067586206896553
21955,DOORMAT UNION JACK GUNS AND ROSES,7580.82,1228,9.168653846153846
21967,PACK OF 12 SKULL TISSUES,1582.1499999999999,5271,0.44693617021276594
21972,SET OF 36 DINOSAUR PAPER DOILIES,499.08,335,1.6887692307692308
21973,SET OF 36 MUSHROOM PAPER DOILIES,230.54999999999998,159,1.45
21974,SET OF 36 PAISLEY FLOWER DOILIES,3545.6,2219,2.144388888888889
21975,PACK OF 60 DINOSAUR CAKE CASES,6102.51,12312,0.6264715447154472
21976,PACK OF 60 MUSHROOM CAKE CASES,2869.9,5199,0.8403266331658291
21977,PACK OF 60 PINK PAISLEY CAKE CASES,12226.32,24820,0.7446931818181819
21980,PACK OF 12 RED RETROSPOT TISSUES,2121.18,6685,0.40671140939597317
21981,PACK OF 12 WOODLAND TISSUES,1651.3,5468,0.48146520146520144
21982,PACK OF 12 SUKI TISSUES,2215.6099999999997,7173,0.4738251366120218
21983,PACK OF 12 BLUE PAISLEY TISSUES,777.67,2301,0.44819354838709674
21984,PACK OF 12 PINK PAISLEY TISSUES,1112.6,3458,0.4711214953271028
21985,PACK OF 12 HEARTS DESIGN TISSUES,2729.5099999999998,8775,0.4177389277389277
21986,PACK OF 12 PINK POLKADOT TISSUES,1197.73,4067,0.4273298429319371
21987,PACK OF 6 SKULL PAPER CUPS,1346.65,2113,0.7704545454545454
21988,PACK OF 6 SKULL PAPER PLATES,1862.75,2321,1.0186153846153847
21989,PACK OF 20 SKULL PAPER NAPKINS,2233.1,2409,1.1530088495575221
21990,MODERN FLORAL STATIONERY SET,2870.0,1672,1.9954200542005418
21991,BOHEMIAN COLLAGE STATIONERY SET,1080.82,635,2.004245283018868
21992,VINTAGE PAISLEY STATIONERY SET,3510.72,1901,2.065475113122172
21993,FLORAL FOLK STATIONERY SET,3355.84,1937,2.024824355971897
22016,Dotcomgiftshop Gift Voucher Â£100.00,83.33,1,83.33
22021,BLUE FELT EASTER EGG BASKET,610.4499999999999,365,1.73986301369863
22023,EMPIRE BIRTHDAY CARD,538.72,1206,0.5998639455782312
22024,RAINY LADIES BIRTHDAY CARD,1023.73,2406,0.5876056338028169
22025,RING OF ROSES BIRTHDAY CARD,761.0500000000001,1835,0.5516793893129771
22026,BANQUET BIRTHDAY  CARD,712.08,1644,0.57325
22027,TEA PARTY BIRTHDAY CARD,1873.71,4368,0.5336263736263736
22028,PENNY FARTHING BIRTHDAY CARD,1304.14,3042,0.5452091254752851
22029,SPACEBOY BIRTHDAY CARD,3387.57,8161,0.5244318181818182
22030,SWALLOWS GREETING CARD,2237.89,5527,0.4638181818181818
22031,BOTANICAL LAVENDER BIRTHDAY CARD,225.59,504,0.518875
22032,BOTANICAL LILY GREETING CARD,181.98,427,0.4485
22033,BOTANICAL ROSE GREETING CARD,141.95,337,0.43863636363636366
22034,ROBIN CHRISTMAS CARD,5.02,10,0.625
22035,VINTAGE CARAVAN GREETING CARD,617.32,1452,0.575036496350365
22037,ROBOT BIRTHDAY CARD,1695.32,3929,0.5297183098591549
22038,BOTANICAL LAVENDER GIFT WRAP,199.5,475,0.42
22039,BOTANICAL LILY GIFT WRAP,105.0,250,0.42
22040,BOTANICAL ROSE GIFT WRAP,304.5,725,0.42
22041,"RECORD FRAME 7"" SINGLE SIZE",11354.56,4374,3.676493150684932
22042,CHRISTMAS CARD SINGING ANGEL,168.33,399,0.4330769230769231
22043,CHRISTMAS CARD SCREEN PRINT,304.5,1238,0.29765625
22044,CHRISTMAS CARD STACK OF PRESENTS,196.44,816,0.2602777777777778
22045,SPACEBOY GIFT WRAP,2673.34,6527,0.41865384615384615
22046,TEA PARTY  WRAPPING PAPER,929.0,2250,0.4189333333333333
22047,EMPIRE GIFT WRAP,1373.5,3375,0.41792452830188676
22048,BIRTHDAY BANQUET GIFT WRAP,393.5,975,0.4175
22049,WRAP CHRISTMAS SCREEN PRINT,291.5,1050,0.2736363636363636
22050,PINK PAISLEY ROSE GIFT WRAP,498.5,1225,0.418
22051,BLUE SCANDINAVIAN PAISLEY WRAP,409.5,975,0.42
22052,VINTAGE CARAVAN GIFT WRAP,273.0,650,0.42
22053,EMPIRE DESIGN ROSETTE,3606.4199999999996,4244,1.227857142857143
22055,MINI CAKE STAND  HANGING STRAWBERY,2083.19,1375,2.086160714285714
22057,CERAMIC PLATE STRAWBERRY DESIGN,667.92,584,1.41327868852459
22059,CERAMIC STRAWBERRY DESIGN MUG,2081.54,1780,1.6124293785310733
22060,LARGE CAKE STAND HANGING HEARTS,1111.05,231,5.28
22061,LARGE CAKE STAND  HANGING STRAWBERY,4218.0599999999995,582,10.28958904109589
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,677.86,583,1.6003846153846153
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,1367.45,583,3.6615447154471545
22064,PINK DOUGHNUT TRINKET POT,2546.2999999999997,1728,2.1447368421052633
22065,CHRISTMAS PUDDING TRINKET POT,3462.25,6729,1.0662948207171314
22066,LOVE HEART TRINKET POT,1044.81,2239,0.6829496402877698
22067,CHOC TRUFFLE GOLD TRINKET POT,638.6199999999999,408,2.072535211267606
22068,BLACK PIRATE TREASURE CHEST,856.39,526,2.382013888888889
22069,BROWN  PIRATE TREASURE CHEST,993.5,414,3.196938775510204
22070,SMALL RED RETROSPOT MUG IN BOX,2354.4,948,4.214017094017094
22071,SMALL WHITE RETROSPOT MUG IN BOX,1384.3,729,3.8707954545454544
22072,RED RETROSPOT TEA CUP AND SAUCER,2811.17,848,3.9930120481927713
22073,RED RETROSPOT STORAGE JAR,1336.14,334,4.978169014084507
22074,6 RIBBONS SHIMMERING PINKS,1239.6699999999998,1402,1.40095
22075,6 RIBBONS ELEGANT CHRISTMAS,2489.0299999999997,1773,1.774009900990099
22076,6 RIBBONS EMPIRE,1667.8799999999999,1259,1.611858407079646
22077,6 RIBBONS RUSTIC CHARM,17186.62,9172,2.211237113402062
22078,RIBBON REEL LACE DESIGN,2923.21,1369,2.6293401015228426
22079,RIBBON REEL HEARTS DESIGN,3325.29,1897,2.0423312883435583
22080,RIBBON REEL POLKADOTS,2003.48,1206,1.9770063694267515
22081,RIBBON REEL FLORA + FAUNA,1176.5,644,2.313525179856115
22082,RIBBON REEL STRIPES DESIGN,4661.88,2680,1.9854457831325298
22083,PAPER CHAIN KIT RETROSPOT,14051.640000000001,4616,3.7658756137479545
22084,PAPER CHAIN KIT EMPIRE,15099.37,5181,3.2728442437923255
22085,PAPER CHAIN KIT SKULLS,1566.99,548,3.175714285714286
22086,PAPER CHAIN KIT 50'S CHRISTMAS,64875.590000000004,19329,3.362331081081081
22087,PAPER BUNTING WHITE LACE,11872.58,4082,3.396042296072508
22088,PAPER BUNTING COLOURED LACE,5661.05,1893,3.5898333333333334
22089,PAPER BUNTING VINTAGE PAISLEY,4457.43,1423,3.5026277372262773
22090,PAPER BUNTING RETROSPOT,22785.06,7562,3.7798004987531173
22091,EMPIRE TISSUE BOX,1030.1,1983,0.958502994011976
22092,BLUE PAISLEY TISSUE BOX,321.4,670,0.5719780219780219
22093,MOTORING TISSUE BOX,822.13,1830,0.6054938271604938
22094,RED RETROSPOT TISSUE BOX,1135.0,2166,1.066600985221675
22095,LADS ONLY TISSUE BOX,1605.96,1643,1.1489333333333334
22096,PINK PAISLEY SQUARE TISSUE BOX,584.09,1366,0.6522314049586777
22097,SWALLOW SQUARE TISSUE BOX,732.39,1596,0.6958169934640523
22098,BOUDOIR SQUARE TISSUE BOX,1001.55,1992,0.9610112359550562
22099,CARAVAN SQUARE TISSUE BOX,800.59,1440,0.9591139240506329
22100,SKULLS SQUARE TISSUE BOX,354.82,755,1.1886440677966101
22101,MIRROR MOSAIC VOTIVE HOLDER,2053.17,1438,2.2659420289855072
22102,MIRROR MOSAIC T-LIGHT HOLDER,831.84,1622,2.0570967741935484
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,908.24,1248,2.12
22104,MIRROR MOSAIC CANDLE PLATE,343.71,288,1.58
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,847.82,574,3.9760606060606065
22106,MIRROR MOSAIC HURRICANE LAMP,898.38,349,5.131914893617021
22107,PIZZA PLATE IN BOX,2153.06,592,4.238901098901099
22108,PING! MICROWAVE PLATE,415.09,152,3.1066666666666665
22109,FULL ENGLISH BREAKFAST PLATE,6921.15,1640,5.498528428093645
22110,BIRD HOUSE HOT WATER BOTTLE,4912.14,1172,4.051458333333333
22111,SCOTTIE DOG HOT WATER BOTTLE,24455.39,4655,5.805300896286813
22112,CHOCOLATE HOT WATER BOTTLE,32826.58,6017,6.075206422018349
22113,GREY HEART HOT WATER BOTTLE,12763.08,3220,4.404398625429553
22114,HOT WATER BOTTLE TEA AND SYMPATHY,32973.44,5740,5.024473684210526
22115,METAL SIGN EMPIRE TEA,2020.91,1549,2.34704347826087
22116,METAL SIGN HIS DINNER IS SERVED,620.42,575,1.4704729729729729
22117,METAL SIGN HER DINNER IS SERVED,3896.4500000000003,1320,2.9212631578947374
22118,JOY WOODEN BLOCK LETTERS,895.26,230,5.188426966292135
22119,PEACE WOODEN BLOCK LETTERS,1734.8700000000001,345,6.319629629629629
22120,WELCOME  WOODEN BLOCK LETTERS,5247.09,523,10.999627659574466
22121,NOEL WOODEN BLOCK LETTERS,2159.7000000000003,352,6.868805970149254
22123,PING MICROWAVE APRON,1068.3799999999999,508,3.0187804878048783
22124,SET OF 2 TEA TOWELS PING MICROWAVE,306.16,149,2.4578947368421056
22125,UNION JACK HOT WATER BOTTLE,139.86,13,10.453333333333333
22127,PARTY CONES CARNIVAL ASSORTED,504.88,404,2.227826086956522
22128,PARTY CONES CANDY ASSORTED,2127.53,1762,1.395921052631579
22129,PARTY CONES CANDY DECORATION,621.96,454,2.337910447761194
22129,PARTY CONES CANDY TREE DECORATION,604.4599999999999,734,1.289090909090909
22130,PARTY CONE CHRISTMAS DECORATION,2664.63,2277,1.7685840707964602
22131,FOOD CONTAINER SET 3 LOVE HEART,3936.5899999999997,2031,2.8124324324324323
22132,RED LOVE HEART SHAPE CUP,939.03,1038,1.2053896103896105
22133,PINK LOVE HEART SHAPE CUP,770.73,816,1.286390977443609
22134,LADLE LOVE HEART RED,17.82,24,0.8022222222222222
22134,MINI LADLE LOVE HEART RED,401.18,865,0.6414285714285715
22135,LADLE LOVE HEART PINK,24.98,39,0.7507692307692307
22135,MINI LADLE LOVE HEART PINK,297.4,528,0.6704216867469879
22136,LOVE HEART SOCK HANGER,679.28,378,2.3049999999999997
22137,BATHROOM SET LOVE HEART DESIGN,237.98000000000002,82,3.1242857142857146
22138,BAKING SET 9 PIECE RETROSPOT,24185.27,4937,5.353144989339019
22139,RETROSPOT TEA SET CERAMIC 11 PC,22868.260000000002,4518,5.730788381742739
22141,CHRISTMAS CRAFT TREE TOP ANGEL,6463.79,2791,2.6021551724137932
22142,CHRISTMAS CRAFT WHITE FAIRY,4946.19,3247,1.7504663212435232
22144,CHRISTMAS CRAFT LITTLE FRIENDS,9662.28,4073,2.5802712477396024
22145,CHRISTMAS CRAFT HEART STOCKING,63.0,30,2.1
22146,EASTER CRAFT IVY WREATH WITH CHICK,1.95,1,1.95
22147,FELTCRAFT BUTTERFLY HEARTS,8621.14,6226,1.6384444444444444
22148,EASTER CRAFT 4 CHICKS,3917.45,1933,2.255079365079365
22149,FELTCRAFT 6 FLOWER FRIENDS,12357.08,6070,2.455298372513562
22150,3 STRIPEY MICE FELTCRAFT,5907.84,3021,2.2756779661016946
22151,PLACE SETTING WHITE HEART,6322.21,15126,0.5779646017699115
22152,PLACE SETTING WHITE STAR,1053.08,2407,0.5537614678899082
22153,ANGEL DECORATION STARS ON DRESS,1109.05,2593,0.5472058823529412
22154,ANGEL DECORATION 3 BUTTONS,1636.67,3745,0.5443373493975904
22155,STAR DECORATION RUSTIC,1133.61,2452,0.5784563758389262
22156,HEART DECORATION WITH PEARLS,2113.13,2196,1.1691570881226052
22157,ANGEL DECORATION WITH LACE PADDED,180.2,212,0.85
22158,3 HEARTS HANGING DECORATION RUSTIC,11797.380000000001,3413,3.352964169381108
22161,HEART DECORATION RUSTIC HANGING,1645.75,5083,0.5981792717086835
22162,HEART GARLAND RUSTIC PADDED,841.24,264,3.2348913043478262
22163,HEART STRING MEMO HOLDER HANGING,1042.78,875,1.7872580645161291
22164,STRING OF STARS CARD HOLDER,250.22000000000003,78,3.5340000000000003
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",3328.2,415,11.87312925170068
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,1614.4,207,12.049080459770115
22167,OVAL WALL MIRROR DIAMANTE,2391.12,236,10.774935897435897
22168,ORGANISER WOOD ANTIQUE WHITE,1205.3,143,8.488815789473684
22169,FAMILY ALBUM WHITE PICTURE FRAME,10345.76,1197,10.152849462365591
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6977.6,1068,7.740037735849057
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13611.81,1794,10.020785340314136
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,7767.8,2444,3.8380321285140564
22174,PHOTO CUBE,5978.78,3218,2.596676923076923
22175,PINK OWL SOFT TOY,2594.23,877,3.462046783625731
22176,BLUE OWL SOFT TOY,1536.88,512,3.312735042735043
22178,VICTORIAN GLASS HANGING T-LIGHT,33146.82,24275,1.6440249759846302
22179,SET 10 LIGHTS NIGHT OWL,3317.4700000000003,461,9.038333333333332
22179,SET 10 NIGHT OWL LIGHTS,3908.73,505,8.948604651162789
22180,RETROSPOT LAMP,3521.54,330,11.514709677419354
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,500.90999999999997,591,0.9998245614035087
22182,CAKE STAND VICTORIAN FILIGREE SMALL,1420.58,372,4.323770491803279
22183,CAKE STAND VICTORIAN FILIGREE MED,1916.01,322,5.957364341085271
22184,CAKE STAND VICTORIAN FILIGREE LARGE,471.86,56,8.427142857142856
22185,SLATE TILE NATURAL HANGING,2235.94,1472,1.9492073170731707
22186,RED STAR CARD HOLDER,1997.48,848,3.0438666666666667
22187,GREEN CHRISTMAS TREE CARD HOLDER,3245.68,1266,3.9398969072164944
22188,BLACK HEART CARD HOLDER,12483.220000000001,4870,4.3502645502645505
22189,CREAM HEART CARD HOLDER,23435.82,8284,4.4527186311787075
22190,LOCAL CAFE MUG,1057.71,676,2.180769230769231
22191,IVORY DINER WALL CLOCK,11911.65,1445,8.85322966507177
22192,BLUE DINER WALL CLOCK,8189.29,954,9.043780821917808
22193,RED DINER WALL CLOCK,11857.07,1400,9.24141304347826
22194,BLACK DINER WALL CLOCK,625.6899999999999,66,9.790227272727272
22195,LARGE HEART MEASURING SPOONS,3720.66,1976,2.3564285714285713
22196,SMALL HEART MEASURING SPOONS,2754.16,2847,1.2229853862212943
22197,POPCORN HOLDER,34288.67,36749,1.0208363636363635
22197,SMALL POPCORN HOLDER,17045.8,20149,1.0751602023608768
22198,LARGE POPCORN HOLDER,1870.9099999999999,1025,2.2325581395348837
22199,FRYING PAN RED POLKADOT,4.25,1,4.25
22199,FRYING PAN RED RETROSPOT,1922.34,466,5.3020481927710845
22200,FRYING PAN PINK POLKADOT,1809.48,398,5.907163120567375
22201,FRYING PAN BLUE POLKADOT,716.8,193,4.299540229885057
22202,MILK PAN PINK POLKADOT,319.35,64,5.68972972972973
22203,MILK PAN RED RETROSPOT,1483.13,403,4.484551724137931
22204,MILK PAN BLUE POLKADOT,669.54,197,3.7055
22206,"MUG , DOTCOMGIFTSHOP.COM",4.17,5,0.834
22207,FRYING PAN UNION FLAG,5833.59,1333,6.180480769230769
22208,WOOD STAMP SET THANK YOU,1571.49,1509,1.277937062937063
22209,WOOD STAMP SET HAPPY BIRTHDAY,964.22,945,1.2049425287356321
22210,WOOD STAMP SET BEST WISHES,958.04,1017,1.130362694300518
22211,WOOD STAMP SET FLOWERS,1122.3899999999999,1008,1.2908457711442785
22212,FOUR HOOK  WHITE LOVEBIRDS,3700.94,1609,2.8394306930693074
22214,CANDLE PLATE LACE WHITE,416.6,193,2.6326785714285714
22215,CAKE STAND WHITE TWO TIER LACE,2471.39,343,8.513465346534653
22216,T-LIGHT HOLDER WHITE LACE,512.93,588,1.1177941176470587
22217,T-LIGHT HOLDER HANGING LACE,831.26,839,1.318170731707317
22218,CAKE STAND LACE WHITE,4.25,1,4.25
22219,LOVEBIRD HANGING DECORATION WHITE,4033.73,4133,1.1821157323688969
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,1849.25,231,10.015581395348836
22221,CAKE STAND LOVEBIRD 2 TIER PINK,1104.54,131,10.617450980392157
22222,CAKE PLATE LOVEBIRD WHITE,3880.2,1057,5.441216216216216
22223,CAKE PLATE LOVEBIRD PINK,1821.61,441,5.30493670886076
22224,WHITE LOVEBIRD LANTERN,2764.0600000000004,834,3.735454545454546
22227,HANGING HEART MIRROR DECORATION,1708.07,2341,0.8917940199335549
22228,BUNNY WOODEN PAINTED WITH BIRD,777.78,1000,0.9306802721088435
22229,BUNNY WOODEN PAINTED WITH FLOWER,432.46,568,0.9327184466019417
22230,JIGSAW TREE WITH WATERING CAN,480.62999999999994,1047,0.792135922330097
22231,JIGSAW TREE WITH BIRDHOUSE,1027.72,998,1.2261904761904763
22232,JIGSAW TOADSTOOLS 3 PIECE,604.4599999999999,690,1.0685542168674698
22233,JIGSAW RABBIT AND BIRDHOUSE,607.14,596,1.2927777777777778
22236,CAKE STAND 3 TIER MAGIC GARDEN,3624.5999999999995,308,12.525
22241,GARLAND WOODEN HAPPY EASTER,2609.43,1952,1.610539419087137
22242,5 HOOK HANGER MAGIC TOADSTOOL,994.3799999999999,640,1.9782352941176469
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,4751.639999999999,3098,1.9261654135338346
22244,3 HOOK HANGER MAGIC GARDEN,3276.2099999999996,1703,2.8271249999999997
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",1070.0,1262,1.1806060606060607
22246,"GARLAND, MAGIC GARDEN 1.8M",23.4,12,1.95
22246,MAGIC GARDEN FELT GARLAND,939.37,419,2.825056179775281
22247,BUNNY DECORATION MAGIC GARDEN,591.4399999999999,668,1.0199137931034483
22248,DECORATION  PINK CHICK MAGIC GARDEN,525.09,593,1.0403603603603602
22249,DECORATION WHITE CHICK MAGIC GARDEN,812.86,928,1.007364864864865
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,730.9499999999999,819,1.0487837837837837
22251,BIRDHOUSE DECORATION MAGIC GARDEN,889.49,712,1.529136690647482
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,761.57,643,1.236231884057971
22254,FELT TOADSTOOL LARGE,836.8000000000001,657,1.6237704918032787
22255,FELT TOADSTOOL  SMALL,602.63,629,1.185844155844156
22256,FELT FARM ANIMAL CHICKEN,387.9,286,1.6088235294117645
22257,FELT FARM ANIMAL SHEEP,280.42,373,1.0997727272727273
22258,FELT FARM ANIMAL RABBIT,743.89,912,1.325194805194805
22259,FELT FARM ANIMAL HEN,332.84,481,1.0475555555555556
22260,FELT EGG COSY BLUE RABBIT,577.4399999999999,552,1.2758878504672895
22261,FELT EGG COSY WHITE RABBIT,544.7099999999999,579,1.1352727272727272
22262,FELT EGG COSY CHICKEN,950.4599999999999,1023,1.1047887323943661
22263,FELT EGG COSY LADYBIRD,195.97,326,1.0479245283018868
22264,FELT FARM ANIMAL WHITE BUNNY,736.9799999999999,1561,1.0378571428571428
22265,EASTER DECORATION NATURAL CHICK,363.55,536,0.7798571428571429
22266,EASTER DECORATION HANGING BUNNY,595.85,1887,0.5661616161616162
22267,EASTER DECORATION EGG BUNNY,673.17,836,1.094470588235294
22268,DECORATION SITTING BUNNY,349.53999999999996,1480,0.422
22268,EASTER DECORATION SITTING BUNNY,452.79999999999995,529,1.0614285714285714
22269,EGG CUP NATURAL CHICKEN,621.49,932,1.0416666666666667
22270,HAPPY EASTER HANGING DECORATION,942.1999999999999,243,4.418
22271,FELTCRAFT DOLL ROSIE,5007.35,1701,3.38049504950495
22272,FELTCRAFT DOLL MARIA,564.9200000000001,196,3.0626530612244904
22273,FELTCRAFT DOLL MOLLY,12001.59,4509,3.2667267267267266
22274,FELTCRAFT DOLL EMILY,3953.4800000000005,1340,3.327977528089888
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,527.85,69,7.65
22276,WASH BAG VINTAGE ROSE PAISLEY,838.86,290,3.3250588235294116
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,897.74,417,2.6088
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,2704.35,405,7.358076923076922
22279,POCKET BAG BLUE PAISLEY RED SPOT,1003.4,831,1.4172307692307693
22280,POCKET BAG PINK PAISELY BROWN SPOT,509.59,468,1.2945833333333334
22281,EASTER TREE YELLOW BIRDS,929.44,131,8.020793650793651
22282,12 EGG HOUSE PAINTED WOOD,2378.52,149,17.214646464646464
22283,6 EGG HOUSE PAINTED WOOD,2726.43,299,9.944580645161292
22284,HEN HOUSE DECORATION,1597.07,927,2.036212121212121
22285,"DECORATION HEN ON NEST, HANGING",74.42999999999999,42,2.505
22285,HANGING HEN ON NEST DECORATION,1418.82,828,2.0156410256410253
22286,"DECORATION , WOBBLY RABBIT , METAL",518.03,293,2.13125
22286,DECORATION WOBBLY RABBIT METAL,504.46,830,1.225820895522388
22287,"DECORATION , WOBBLY CHICKEN, METAL",397.71999999999997,234,1.9820000000000002
22287,DECORATION WOBBLY CHICKEN,319.14,560,1.181111111111111
22288,HANGING METAL RABBIT DECORATION,616.95,474,1.6053225806451612
22289,HANGING METAL CHICKEN DECORATION,193.52,148,1.4934285714285713
22291,HANGING CHICK CREAM DECORATION,1906.02,1289,1.6335245901639344
22292,HANGING CHICK  YELLOW DECORATION,1604.51,1136,1.5945689655172415
22293,HANGING CHICK GREEN DECORATION,1335.87,903,1.7224
22294,HEART FILIGREE DOVE  SMALL,6805.08,5457,1.453355048859935
22295,HEART FILIGREE DOVE LARGE,4613.969999999999,2789,1.9075984251968503
22296,HEART IVORY TRELLIS LARGE,5247.719999999999,3140,1.8795412844036699
22297,HEART IVORY TRELLIS SMALL,5459.91,4164,1.746631853785901
22299,PIG KEYRING WITH LIGHT & SOUND,1386.97,1379,1.7235
22300,COFFEE MUG DOG + BALL DESIGN,3409.21,1528,3.1201020408163265
22301,COFFEE MUG CAT + BIRD DESIGN,4980.83,2205,3.1865079365079363
22302,COFFEE MUG PEARS  DESIGN,5134.29,2329,2.7265727699530515
22303,COFFEE MUG APPLES DESIGN,6338.25,2816,2.7623664122137406
22304,COFFEE MUG BLUE PAISLEY DESIGN,1352.88,761,3.118360655737705
22305,COFFEE MUG PINK PAISLEY DESIGN,1604.5800000000002,693,3.0107843137254897
22306,SILVER MUG BONE CHINA TREE OF LIFE,1415.85,1162,1.845840707964602
22307,GOLD MUG BONE CHINA TREE OF LIFE,969.64,770,2.222
22308,TEA COSY BLUE STRIPE,877.38,250,4.214476190476191
22309,TEA COSY RED  STRIPE,1091.05,369,3.744262295081967
22310,IVORY KNITTED MUG COSY,1296.23,668,2.583693693693694
22311,OFFICE MUG WARMER BLACK+SILVER,3403.76,1132,4.082222222222223
22312,OFFICE MUG WARMER POLKADOT,1950.4900000000002,645,3.6210526315789475
22313,OFFICE MUG WARMER PINK,1564.8300000000002,565,3.51179104477612
22314,OFFICE MUG WARMER CHOC+BLUE,1759.1200000000001,570,3.962148148148148
22315,200 RED + WHITE BENDY STRAWS,1218.93,916,1.4587861271676301
22316,200 BENDY SKULL STRAWS,742.37,660,1.3725454545454545
22317,FIVE CATS HANGING DECORATION,879.6700000000001,286,3.65561797752809
22318,FIVE HEART HANGING DECORATION,1541.6200000000001,462,3.984685314685315
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,572.26,1322,0.5670491803278689
22320,BIRDS MOBILE VINTAGE DESIGN,1147.27,189,6.261232876712329
22321,BIRD DECORATION RED RETROSPOT,860.93,893,1.2836363636363637
22322,BIRD DECORATION GREEN POLKADOT,747.81,820,1.1363309352517985
22323,PINK POLKADOT KIDS BAG,1.95,1,1.95
22324,BLUE POLKADOT KIDS BAG,688.3,286,3.4390666666666667
22325,MOBILE VINTAGE HEARTS,1146.35,249,5.08505376344086
22326,ROUND SNACK BOXES SET OF4 WOODLAND,24364.870000000003,8535,3.4687721691678037
22327,ROUND SNACK BOXES SET OF 4 SKULLS,4304.25,1167,4.334896551724138
22328,ROUND SNACK BOXES SET OF 4 FRUITS,19094.97,6835,3.275880341880342
22329,ROUND CONTAINER SET OF 5 RETROSPOT,2661.89,1603,2.0687866108786612
22331,WOODLAND PARTY BAG + STICKER SET,2975.14,1840,2.0058469945355193
22332,SKULLS PARTY BAG + STICKER SET,1678.0,1032,1.798724832214765
22333,RETROSPOT PARTY BAG + STICKER SET,7043.94,4492,1.8778124999999999
22334,DINOSAUR PARTY BAG + STICKER SET,1160.71,707,1.7907843137254902
22335,HEART DECORATION PAINTED ZINC,1668.89,2380,0.9153478260869565
22336,DOVE DECORATION PAINTED ZINC,754.03,2381,0.6304878048780488
22337,ANGEL DECORATION PAINTED ZINC,574.54,912,0.7082051282051283
22338,STAR DECORATION PAINTED ZINC,1233.9099999999999,4679,0.44655913978494627
22339,CHRISTMAS TREE PAINTED ZINC,683.31,2468,0.43829545454545454
22340,NOEL GARLAND PAINTED ZINC,787.2099999999999,1398,0.766328125
22341,LOVE GARLAND PAINTED ZINC,827.6299999999999,453,2.4683333333333333
22342,HOME GARLAND PAINTED ZINC,1111.58,997,1.840078125
22343,PARTY PIZZA DISH RED RETROSPOT,873.33,1974,0.6028723404255318
22344,PARTY PIZZA DISH PINK POLKADOT,459.81,1225,0.6346052631578947
22345,PARTY PIZZA DISH BLUE POLKADOT,399.05,1117,0.5980821917808219
22346,PARTY PIZZA DISH GREEN POLKADOT,381.09,1034,0.5978333333333333
22348,TEA BAG PLATE RED RETROSPOT,3583.29,4084,1.0849861495844875
22349,DOG BOWL CHASING BALL DESIGN,5381.5199999999995,1366,4.129848484848485
22350,ILLUSTRATED CAT BOWL,3822.12,1410,3.13900826446281
